CODE,YEAR,MONTH,LAT,LON,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,ALLSKY_SFC_SW_DIFF,ALLSKY_SFC_SW_DNI,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,ALLSKY_SRF_ALB,CLOUD_AMT,CLRSKY_SFC_PAR_TOT,CLRSKY_SFC_SW_DWN,GWETPROF,GWETROOT,GWETTOP,PRECTOTCORR,PRECTOTCORR_SUM,PS,QV2M,RH2M,T2M,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M_RANGE,TOA_SW_DWN,TS,MAIZE,WHEAT,RICE,SOYBEAN
AST,1994,8,-25.5,133.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.17,0.0,0.0,97.03,3.06,35.98,12.64,-3.76,4.44,29.1,-0.36,17.25,0.0,13.38,0.0,0.0,0.0,0.0
AST,1997,4,-30.5,126.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.33,0.16,0.15,4.52,99.58,6.91,46.77,21.67,7.43,14.55,35.04,9.85,14.47,0.0,22.84,975.63,0.0,937.83,843.88
AST,1999,5,-22.0,125.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.27,0.2,0.01,0.31,97.45,5.0,30.35,22.49,2.94,12.72,34.69,9.56,16.04,0.0,22.73,0.0,0.0,0.0,0.0
ARG,2025,5,-37.5,-66.5,25.85,4.5,3.36,16.82,10.11,0.55,0.01,0.5,0.12,47.73,5.31,12.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.02,0.0,0.0,0.0,0.0,0.0
AST,2000,5,-26.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.27,0.03,0.81,97.01,5.26,52.07,14.28,3.67,8.97,28.97,4.14,13.89,0.0,15.06,0.0,0.0,0.0,0.0
ARG,2022,4,-30.5,-61.5,30.11,7.31,4.88,19.54,16.11,0.93,0.02,1.25,0.16,37.23,8.49,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.57,0.0,1335.77,0.0,759.32,0.0
ARG,2024,2,-33.0,-66.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.51,0.49,3.52,102.12,89.65,11.08,57.47,23.52,13.54,18.53,35.66,9.79,13.91,0.0,25.06,0.0,0.0,0.0,0.0
AST,2001,5,-27.5,131.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.21,0.13,4.1,96.82,5.51,50.21,15.62,4.11,9.87,30.54,4.34,13.64,0.0,16.28,0.0,0.0,0.0,0.0
ARG,2024,5,-29.0,-65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.46,0.44,0.22,6.73,98.21,6.48,68.87,12.72,6.47,9.6,29.15,1.24,12.66,0.0,12.67,0.0,0.0,0.0,0.0
AST,1984,8,-23.5,124.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.21,0.12,3.66,96.9,3.76,32.24,17.15,-1.18,7.99,31.74,2.19,17.0,0.0,17.73,0.0,0.0,0.0,0.0
ARG,2024,4,-33.5,-64.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.46,0.5,1.96,58.75,97.49,8.26,73.5,15.96,10.44,13.2,30.38,6.15,12.77,0.0,15.86,0.0,0.0,0.0,0.0
AST,1995,7,-30.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.41,0.38,0.33,10.35,99.89,5.37,60.61,12.67,4.5,8.58,23.54,4.18,11.97,0.0,12.78,0.0,0.0,0.0,0.0
AST,1991,1,-23.5,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.17,1.7,52.76,94.43,8.92,32.09,31.63,9.63,20.63,45.33,21.12,13.69,0.0,34.01,0.0,0.0,0.0,0.0
AST,1993,5,-22.5,126.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.23,0.77,23.81,97.19,7.16,45.47,21.31,8.08,14.69,33.29,10.62,12.44,0.0,22.18,0.0,0.0,0.0,0.0
AST,1984,7,-25.5,126.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.25,0.2,2.15,66.75,96.53,4.36,50.65,11.8,0.43,6.12,26.62,1.72,13.91,0.0,12.22,0.0,0.0,0.0,0.0
AST,1984,7,-27.5,129.5,26.26,4.13,5.24,0.0,9.34,0.0,0.0,0.0,0.0,67.95,0.0,15.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.16,0.0,0.0,0.0,0.0,0.0
AST,1987,12,-22.0,132.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.22,1.98,61.32,93.81,9.09,35.08,29.28,9.8,19.54,40.71,16.18,14.12,0.0,31.88,0.0,0.0,0.0,0.0
AST,1987,3,-23.5,127.5,33.52,11.42,8.6,0.0,24.61,0.0,0.0,0.0,0.0,36.99,0.0,26.18,0.19,0.18,0.08,0.03,0.83,96.52,5.61,23.5,28.68,4.43,16.56,40.62,17.98,15.75,35.37,30.46,0.0,0.0,0.0,0.0
ARG,2024,10,-32.0,-68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.22,1.34,41.51,87.27,5.72,40.61,18.93,2.64,10.79,37.41,6.41,14.84,0.0,20.73,0.0,0.0,0.0,0.0
AST,1994,6,-20.5,124.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.11,0.13,4.04,98.18,3.89,29.38,18.55,-0.92,8.82,32.78,7.79,15.39,0.0,18.89,0.0,0.0,0.0,0.0
AST,1989,5,-27.0,126.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.23,0.43,13.27,96.59,6.24,53.32,16.68,6.09,11.38,30.07,6.62,13.3,0.0,17.5,0.0,0.0,0.0,0.0
AST,1993,10,-21.0,133.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.19,0.45,13.87,96.36,6.41,29.89,26.54,5.57,16.05,41.28,11.63,15.85,0.0,28.35,0.0,0.0,0.0,0.0
AST,1993,2,-27.0,126.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.2,1.09,30.47,95.72,8.15,34.91,27.68,9.07,18.38,41.0,13.22,15.97,0.0,30.16,0.0,0.0,0.0,0.0
AST,1999,12,-24.5,131.5,33.52,12.24,12.7,0.0,26.3,0.0,0.0,0.0,0.0,59.65,0.0,31.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.81,0.0,0.0,581.28,0.0,0.0
AST,1987,12,-27.0,127.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.19,0.14,0.47,14.53,96.04,7.88,30.84,29.4,8.57,18.99,41.04,12.62,15.49,0.0,31.96,0.0,0.0,0.0,0.0
AST,1984,11,-30.0,131.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.35,0.17,0.27,8.13,99.21,5.71,38.38,22.97,4.99,13.98,45.97,8.47,17.89,0.0,25.56,0.0,0.0,0.0,0.0
AST,1992,11,-26.5,124.5,30.37,13.34,7.74,0.0,29.04,0.0,0.0,0.0,0.0,32.83,0.0,31.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.43,0.0,0.0,0.0,0.0,0.0
ARG,2024,2,-33.5,-68.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.32,0.29,1.26,36.44,89.96,10.05,47.0,25.41,12.06,18.73,38.38,15.0,13.95,0.0,27.42,0.0,0.0,0.0,0.0
ARG,2023,10,-35.0,-67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.3,0.25,0.71,22.0,96.08,4.92,38.56,18.39,1.96,10.18,34.53,5.76,16.32,0.0,20.18,0.0,0.0,0.0,0.0
AST,1987,10,-22.0,130.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.12,0.33,10.21,94.91,5.4,22.9,28.43,3.12,15.78,40.5,11.24,16.13,0.0,30.15,0.0,0.0,0.0,0.0
AST,2001,1,-21.5,128.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.25,2.83,87.81,96.23,12.15,40.11,32.87,15.94,24.41,45.42,24.01,12.62,0.0,35.35,0.0,0.0,0.0,0.0
AST,1986,4,-30.5,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39,0.39,0.17,0.07,2.23,99.63,6.05,47.76,19.19,5.96,12.58,37.72,7.58,15.46,0.0,20.62,0.0,0.0,0.0,0.0
AST,1984,10,-23.5,124.5,32.58,12.47,8.22,0.0,27.22,0.0,0.0,0.0,0.0,31.22,0.0,28.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.84,0.0,0.0,0.0,0.0,0.0
AST,1994,10,-27.0,128.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.07,0.09,2.72,96.46,4.07,23.82,23.55,-0.23,11.66,39.63,5.01,17.8,0.0,25.74,0.0,0.0,0.0,0.0
AST,1990,11,-29.5,126.5,30.16,13.71,9.11,0.0,29.94,0.0,0.0,0.0,0.0,41.69,0.0,31.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.48,0.0,0.0,0.0,0.0,0.0
ARG,2023,2,-35.5,-65.5,30.73,11.92,5.84,29.62,26.51,1.54,0.04,2.57,0.14,27.64,12.74,28.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.54,0.0,0.0,0.0,0.0,0.0
AST,1985,9,-28.5,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,0.12,0.18,5.46,97.74,3.74,36.02,16.22,-1.19,7.51,34.24,3.09,16.54,0.0,17.59,0.0,0.0,0.0,0.0
AST,1993,11,-30.0,127.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.4,0.3,0.74,22.24,98.68,6.84,41.62,23.82,7.47,15.64,44.33,7.65,17.93,0.0,26.35,0.0,0.0,0.0,0.0
AST,1995,11,-22.5,130.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.21,0.16,1.3,39.05,94.59,7.69,30.69,29.92,8.1,19.01,42.98,17.59,15.44,0.0,32.44,0.0,0.0,0.0,0.0
ARG,2024,1,-34.0,-67.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.28,0.27,3.16,97.93,95.52,9.95,43.18,28.16,12.54,20.35,42.51,14.93,15.53,0.0,30.33,0.0,0.0,0.0,0.0
AST,1985,4,-22.5,131.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.18,0.58,17.36,94.47,5.02,29.01,23.04,2.52,12.78,37.84,10.79,15.27,0.0,24.44,0.0,0.0,0.0,0.0
AST,1987,4,-21.0,126.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.26,0.19,0.21,6.4,97.12,6.85,30.11,27.58,6.77,17.17,39.9,16.58,15.19,0.0,28.7,0.0,0.0,0.0,0.0
AST,1986,10,-30.0,125.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.46,0.4,0.76,23.71,98.82,5.1,45.1,17.34,3.56,10.45,35.91,4.52,16.25,0.0,19.11,0.0,0.0,0.0,0.0
AST,1987,12,-26.0,128.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.2,1.48,45.99,94.8,8.27,32.72,29.18,8.82,19.0,41.24,12.53,15.14,0.0,31.61,0.0,0.0,0.0,0.0
AST,1998,8,-21.5,125.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.11,0.09,2.94,97.87,4.79,29.74,22.09,1.87,11.98,35.32,10.25,16.72,0.0,23.06,0.0,0.0,0.0,0.0
AST,1988,5,-23.5,124.5,31.49,5.94,5.95,0.0,13.06,0.0,0.0,0.0,0.0,61.8,0.0,17.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.63,0.0,0.0,0.0,0.0,0.0
AST,1995,4,-20.5,126.5,34.31,9.42,7.35,0.0,20.02,0.0,0.0,0.0,0.0,48.21,0.0,22.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.88,0.0,515.29,0.0,1024.28,390.19
AST,1989,4,-26.0,130.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.49,0.53,0.71,21.43,93.73,8.63,69.24,16.87,10.54,13.71,29.99,7.05,12.79,0.0,17.52,0.0,0.0,0.0,0.0
AST,1990,2,-23.0,129.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.23,0.18,0.53,14.78,96.19,7.77,28.63,30.36,8.33,19.34,41.15,16.71,14.17,0.0,32.61,0.0,0.0,0.0,0.0
AST,1990,11,-25.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.09,0.26,7.95,95.76,5.26,18.45,31.68,3.02,17.35,45.21,17.43,18.41,0.0,34.78,0.0,0.0,0.0,0.0
AST,2000,12,-28.0,126.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.17,0.21,6.58,96.28,7.25,30.33,29.08,8.12,18.6,42.67,15.51,17.07,0.0,32.01,0.0,722.8,0.0,0.0
AST,1990,2,-27.5,127.5,31.68,11.84,8.75,0.0,25.94,0.0,0.0,0.0,0.0,47.82,0.0,30.06,0.19,0.19,0.16,0.76,21.37,96.91,7.11,35.1,25.92,7.8,16.86,39.56,12.35,15.43,39.53,28.21,0.0,0.0,0.0,0.0
AST,1993,8,-26.0,128.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.28,0.24,0.31,9.68,95.11,4.17,41.83,14.31,-0.03,7.14,29.44,1.44,15.38,0.0,15.01,0.0,0.0,0.0,0.0
